"150826"	"3"	"杭锦后旗"
"150900"	"2"	"乌兰察布市"
"150921"	"3"	"卓资县"
"150922"	"3"	"化德县"
"150923"	"3"	"商都县"
"150924"	"3"	"兴和县"
"150925"	"3"	"凉城县"
"150926"	"3"	"察哈尔右翼前旗"
"150927"	"3"	"察哈尔右翼中旗"
"150928"	"3"	"察哈尔右翼后旗"
"150929"	"3"	"四子王旗"
"150981"	"3"	"丰镇市"
"152200"	"2"	"兴安盟"
"152201"	"3"	"乌兰浩特市"
"152202"	"3"	"阿尔山市"
"152221"	"3"	"科尔沁右翼前旗"
"152222"	"3"	"科尔沁右翼中旗"
"152223"	"3"	"扎赉特旗"
"152224"	"3"	"突泉县"
"152500"	"2"	"锡林郭勒盟"
"152501"	"3"	"二连浩特市"
"152502"	"3"	"锡林浩特市"
"152522"	"3"	"阿巴嘎旗"
"152523"	"3"	"苏尼特左旗"
"152524"	"3"	"苏尼特右旗"
"152525"	"3"	"东乌珠穆沁旗"
"152526"	"3"	"西乌珠穆沁旗"
"152527"	"3"	"太仆寺旗"
"152528"	"3"	"镶黄旗"
"152529"	"3"	"正镶白旗"
"152530"	"3"	"正蓝旗"
"152531"	"3"	"多伦县"
"152900"	"2"	"阿拉善盟"
"152921"	"3"	"阿拉善左旗"
"152922"	"3"	"阿拉善右旗"
"152923"	"3"	"额济纳旗"
"210000"	"1"	"辽宁省"
"210100"	"2"	"沈阳市"
"210122"	"3"	"辽中县"
"210123"	"3"	"康平县"
"210124"	"3"	"法库县"
"210181"	"3"	"新民市"
"210200"	"2"	"大连市"
"210224"	"3"	"长海县"
"210281"	"3"	"瓦房店市"
"210282"	"3"	"普兰店市"
"210283"	"3"	"庄河市"
"210300"	"2"	"鞍山市"
"210321"	"3"	"台安县"
"210323"	"3"	"岫岩满族自治县"
"210381"	"3"	"海城市"
"210400"	"2"	"抚顺市"
"210421"	"3"	"抚顺县"
"210422"	"3"	"新宾满族自治县"
"210423"	"3"	"清原满族自治县"
"210500"	"2"	"本溪市"
"210521"	"3"	"本溪满族自治县"
"210522"	"3"	"桓仁满族自治县"
"210600"	"2"	"丹东市"
"210624"	"3"	"宽甸满族自治县"
"210681"	"3"	"东港市"
"210682"	"3"	"凤城市"
"210700"	"2"	"锦州市"
"210726"	"3"	"黑山县"
"210727"	"3"	"义县"
"210781"	"3"	"凌海市"
"210782"	"3"	"北镇市"
"210800"	"2"	"营口市"
"210881"	"3"	"盖州市"
"210882"	"3"	"大石桥市"
"210900"	"2"	"阜新市"
"210921"	"3"	"阜新蒙古族自治县"
"210922"	"3"	"彰武县"
"211000"	"2"	"辽阳市"
"211021"	"3"	"辽阳县"
"211081"	"3"	"灯塔市"
"211100"	"2"	"盘锦市"
"211121"	"3"	"大洼县"
"211122"	"3"	"盘山县"
"211200"	"2"	"铁岭市"
"211221"	"3"	"铁岭县"
"211223"	"3"	"西丰县"
"211224"	"3"	"昌图县"
"211281"	"3"	"调兵山市"
"211282"	"3"	"开原市"
"211300"	"2"	"朝阳市"
